岗位名称,工作地点,岗位薪资,经验要求,学历要求,岗位标签,企业名称,企业行业,企业规模,融资状况
阿里云智能-AI/AIGC国际标准化专家-北京,北京,10-20k,经验不限,本科,Unknown,阿里云,互联网,10000人以上,融资未公开
增长策略产品经理 (AIGC方向)-UG Paid Ads,北京-朝阳区,25-45k·15薪,经验不限,本科,"增长产品,数据产品,客户端产品,内容产品,AI人工智能产品,短视频,数据分析",字节跳动,互联网,10000人以上,其他
AIGC科学家,北京,40-70k,经验不限,硕士,"技术支持,技术战略,团队管理",北京微播易科技股份有限公司,互联网,100-499人,D轮
AIGC后端开发,北京-顺义区,15-25k·13薪,5-10年,大专,"语言模型,算法研究,Java,Python,机器视觉,大数据算法,AIGC,人工智能",某北京其他金融公司,其他金融,100-499人,战略融资
AIGC产品经理-某短视频大厂,北京,25-50k·15薪,经验不限,统招本科,"AI人工智能产品,推荐产品,人工智能,智能推荐,to C,to G,团队管理,产品设计,需求分析,市场调研",某知名公司,计算机软件,100-499人,A轮
（大模型专项）AIGC产品经理,北京-海淀区,30-50k·16薪,3-5年,本科,"AI人工智能产品,推荐产品,人工智能,智能推荐,to C,to G,团队管理,产品设计,市场调研,需求分析",快手,互联网,10000人以上,港股上市
AIGC优化工程师-智能创作,北京-海淀区,25-70k·15薪,经验不限,本科,"优化算法,算法优化,算法研究,大数据算法",字节跳动,互联网,10000人以上,其他
AIGC质量架构师-飞书,北京-海淀区,40-65k,经验不限,本科,"性能测试,自动化测试",字节跳动,互联网,10000人以上,其他
海外AIGC社区-互动玩法产品,北京-东城区,30-60k·13薪,3-5年,本科,"内容产品,用户研究,SQL,数据分析",昆仑天工科技有限公司,游戏,500-999人,Unknown
商业研发部_商业AIGC生态合作商务BD(J67327),北京-海淀区,20-40k,3-5年,本科,"广告 商务,商务合作,品牌合作（商务）,互联网科技",Baidu,互联网,10000人以上,美股上市
安全策略产品（AIGC/大模型方向）,北京-朝阳区,25-40k·16薪,3-5年,统招本科,"安全产品,搜索产品,推荐产品,AI人工智能产品,策略产品,to G,to C,人工智能,数据分析,市场调研",小红书,互联网,1000-2000人,D轮
AIGC大模型 全栈工程师（合伙人）,北京-朝阳区,35-55k·18薪,3-5年,本科,"后端开发,全栈开发,框架开发,框架设计,前端开发",北京英诺伟新材料科技集团有限公司,电子商务,50-99人,Unknown
高级AIGC产品经理,北京-海淀区,25-45k·15薪,5-10年,统招本科,"策略产品,产品优化,产品规划,用户研究,团队管理",美图公司,在线社交/媒体,500-999人,已上市
教育类AIGC产品总监,北京,26-50k,3-5年,本科,"教育行业,数据分析,用户研究,产品优化,需求挖掘,团队管理",某知名公司,货运/物流/仓储,50-99人,Unknown
aigc算法工程师/算法专家,北京,40-60k·16薪,3-5年,硕士,"检测算法,算法识别,模式识别,深度学习,TensorFlow,PyTorch,深度学习框架,C++,C/C++,C语言",某知名互联网上市公司,互联网,10000人以上,已上市
AIGC算法专家,北京-朝阳区,30-60k·15薪,经验不限,硕士,"检测算法,算法识别,模式识别,深度学习,TensorFlow,PyTorch,深度学习框架,C++,C/C++,C语言",某杭州互联网上市公司,互联网,10000人以上,已上市
产品专家（AIGC方向）,北京-朝阳区,40-70k·16薪,5-10年,统招本科,"社区/社交产品,AI人工智能产品,电商产品,对话产品,工具产品",某上海大型互联网公司,互联网,5000-10000人,A轮
文库业务部_百度文库AIGC高级产品经理-PC方向,北京,30-60k·16薪,3-5年,本科,"用户研究,产品设计,数据分析,产品优化,产品规划,需求分析",Baidu,互联网,10000人以上,美股上市
文库业务部_文库AIGC高级产品经理(PC方向),北京-海淀区,40-70k·16薪,3-5年,本科,"AI人工智能产品,IT互联网,to C,AIGC",Baidu,互联网,10000人以上,美股上市
文库业务部_百度文库AIGC高级产品经理(PC方向)(J64170),北京,40-70k·13薪,3-5年,本科,"用户研究,产品设计,产品优化,数据分析,需求分析,产品规划",Baidu,互联网,10000人以上,美股上市
aigc设计讲师,北京,20-40k,经验不限,大专,设计课程,某北京其他教育培训公司,其他教育培训,100-499人,战略融资
AIGC算法专家,北京,60-90k·18薪,经验不限,硕士,算法研究,某南京互联网上市公司,互联网,5000-10000人,已上市
AIGC推理优化工程师,北京-海淀区,30-50k,3-5年,统招本科,"深度学习,Python,Golang,算法开发,算法优化,AIGC,大模型,GPU,模型优化",某北京大型互联网公司,互联网,500-999人,融资未公开
阿里妈妈-算法工程师（AIGC/LLM应用/多模态）-北京杭州,北京,30-50k,经验不限,硕士,"语言模型,深度学习,算法研究,C++",阿里巴巴集团,互联网,10000人以上,港股上市
产品运营（AIGC）,北京-海淀区,9-14k,1-3年,统招本科,Unknown,庭宇科技,云计算/大数据,100-499人,A轮
智能信息-大模型/AIGC算法工程师-智能营销平台广告算法 大模型/AIGC方向（北京）,北京,10-20k,经验不限,硕士,"深度学习,TensorFlow,PyTorch",阿里巴巴集团,互联网,10000人以上,港股上市
AIGC产品经理,北京-朝阳区,18-30k,3-5年,本科,"AI人工智能产品,内容产品,策略产品,工具产品,人工智能,IT互联网,产品设计,需求分析,用户研究,产品规划",北京乐我无限科技有限责任公司,在线社交/媒体,500-999人,B轮
算法工程师（AIGC/LLM应用/多模态）,北京,25-50k·16薪,3-5年,统招本科,"广告算法,语言模型,算法研究,TensorFlow,PyTorch",某大型知名科技金融公司,科技金融,10000人以上,融资未公开
高级AIGC设计讲师,北京,25-40k,5-10年,学历不限,设计课程,某北京互联网上市公司,互联网,5000-10000人,已上市
阿里妈妈-算法工程师（AIGC/LLM应用/多模态）-北京杭州,北京,30-50k,经验不限,硕士,"语言模型,算法研究,深度学习,C++",阿里巴巴集团,互联网,10000人以上,港股上市
